Row,Racc_inv,kt,eps_t,tc,bc,CO2ppm,RH,tw,bw,pSR,theta_xc,A,n
Racc_inv,1,-0.0369947715556442,0.033586973201841,0.0252828061529611,-0.0645369761796857,-0.0626894279628735,0.0500904541972405,0.0102765926695931,-0.0770333192074473,-0.0550620187401631,-0.0821097054734315,0.760693651049697,0.0330645594457119
kt,-0.0369947715556442,1,-0.0126545282174233,0.0723342518286142,0.0114006359302191,0.0257254906295296,0.00630850953684416,-0.0366861120690582,0.00135687135101988,0.0332851681777228,-0.0748333372399466,0.358609503805596,0.00703149327983157
eps_t,0.033586973201841,-0.0126545282174233,1,-0.0213846337461178,0.0661010500732313,0.0142968361044462,-0.00301933983714022,-0.0223101770127251,-0.090180802900184,0.072529075694087,0.0696897020562595,0.0529424128661293,0.103478525489072
tc,0.0252828061529611,0.0723342518286142,-0.0213846337461178,1,-0.0470260980558478,-0.0724472038334918,-0.0457908631240767,-0.0176434037317398,0.134355896522358,-0.0561530777981469,0.0481179242069876,-0.335423596075795,-0.172325070157689
bc,-0.0645369761796857,0.0114006359302191,0.0661010500732313,-0.0470260980558478,1,-0.0191594301714933,-0.0364287194439958,-0.102733434320464,-0.0278056098021127,-0.063341359500365,0.0147846496585383,-0.0825833507057731,0.0155580753982422
CO2ppm,-0.0626894279628735,0.0257254906295296,0.0142968361044462,-0.0724472038334918,-0.0191594301714933,1,0.0247145492075457,0.101539086584487,-0.0895983680155238,0.073938223421187,0.0986856790205264,0.00309935238443573,0.120628234734542
RH,0.0500904541972405,0.00630850953684416,-0.00301933983714022,-0.0457908631240767,-0.0364287194439958,0.0247145492075457,1,0.0701626380295784,-0.0430970642067685,0.00446242043894933,0.0146994005589507,-0.2267233001892,0.0359383869337577
tw,0.0102765926695931,-0.0366861120690582,-0.0223101770127251,-0.0176434037317398,-0.102733434320464,0.101539086584487,0.0701626380295784,1,0.0759365774201999,0.0210099004818875,-0.0065670590877841,-0.0214327953598268,0.000837448347363128
bw,-0.0770333192074473,0.00135687135101988,-0.090180802900184,0.134355896522358,-0.0278056098021127,-0.0895983680155238,-0.0430970642067685,0.0759365774201999,1,-0.0758560467311714,-0.0669906333987763,-0.107318559305502,-0.880245649924272
pSR,-0.0550620187401631,0.0332851681777228,0.072529075694087,-0.0561530777981469,-0.063341359500365,0.073938223421187,0.00446242043894933,0.0210099004818875,-0.0758560467311714,1,-0.0265351454019931,-0.00928425666232961,0.340169327153626
theta_xc,-0.0821097054734315,-0.0748333372399466,0.0696897020562595,0.0481179242069876,0.0147846496585383,0.0986856790205264,0.0146994005589507,-0.0065670590877841,-0.0669906333987763,-0.0265351454019931,1,-0.128738637116577,0.0702427599695322
A,0.760693651049697,0.358609503805596,0.0529424128661293,-0.335423596075795,-0.0825833507057731,0.00309935238443573,-0.2267233001892,-0.0214327953598268,-0.107318559305502,-0.00928425666232961,-0.128738637116577,1,0.0967465038749097
n,0.0330645594457119,0.00703149327983157,0.103478525489072,-0.172325070157689,0.0155580753982422,0.120628234734542,0.0359383869337577,0.000837448347363128,-0.880245649924272,0.340169327153626,0.0702427599695322,0.0967465038749097,1
