Row,Racc_inv,kt,eps_t,tc,bc,CO2ppm,RH,tw,bw,pSR,theta_xc,A,n
Racc_inv,1,-0.0305713964199196,0.0353947544767467,0.0104535217629085,-0.0654534797139709,-0.0607873855315546,0.067587199716617,0.00789889898162431,-0.0918074254813172,-0.0425167246010105,-0.087223172915952,0.758108453561443,0.0651555406820972
kt,-0.0305713964199196,1,-0.0106359890252725,0.0631274467197047,0.0387847252479905,0.0375528706783455,0.00909676378543548,-0.0216675519943547,0.00168420307567763,0.00295894320372434,-0.0685729061224831,0.349554772843159,0.00120666824512917
eps_t,0.0353947544767467,-0.0106359890252725,1,-0.0217187150278867,0.0598878856103674,0.0270035895706897,-0.0182108213009443,-0.014197537791436,-0.089484817884428,0.0533856782857411,0.0672396918228998,0.0723983003578739,0.089459144500537
tc,0.0104535217629085,0.0631274467197047,-0.0217187150278867,1,-0.0454356896509598,-0.0578340701969588,-0.0387996418628123,-0.032898468073249,0.137183145705427,-0.0506482186460301,0.0489730082539206,-0.32962335194414,-0.157161112600101
bc,-0.0654534797139709,0.0387847252479905,0.0598878856103674,-0.0454356896509598,1,-0.00872030250038769,-0.0598821060012388,-0.094434439756084,-0.0272618428929137,-0.0566520921807826,0.0113585818893491,-0.0852458365895912,0.00214684102709178
CO2ppm,-0.0607873855315546,0.0375528706783455,0.0270035895706897,-0.0578340701969588,-0.00872030250038769,1,0.0231914697448697,0.0851441362105901,-0.0899714446901072,0.0988029687576269,0.0915468504784043,-0.0020556759734723,0.120135377793085
RH,0.067587199716617,0.00909676378543548,-0.0182108213009443,-0.0387996418628123,-0.0598821060012388,0.0231914697448697,1,0.054544014900715,-0.054177526629861,0.00617763374017352,0.00692312048495195,-0.220424476447453,0.0511178988928862
tw,0.00789889898162431,-0.0216675519943547,-0.014197537791436,-0.032898468073249,-0.094434439756084,0.0851441362105901,0.054544014900715,1,0.0628886716379304,0.0329401464072751,0.000449049043218156,-0.00635274037578296,0.0402869680706794
bw,-0.0918074254813172,0.00168420307567763,-0.089484817884428,0.137183145705427,-0.0272618428929137,-0.0899714446901072,-0.054177526629861,0.0628886716379304,1,-0.0664698669199812,-0.0668815916898635,-0.108601697598939,-0.928450705210657
pSR,-0.0425167246010105,0.00295894320372434,0.0533856782857411,-0.0506482186460301,-0.0566520921807826,0.0988029687576269,0.00617763374017352,0.0329401464072751,-0.0664698669199812,1,-0.0255990081531244,0.00386987719385617,0.391888273645555
theta_xc,-0.087223172915952,-0.0685729061224831,0.0672396918228998,0.0489730082539206,0.0113585818893491,0.0915468504784043,0.00692312048495195,0.000449049043218156,-0.0668815916898635,-0.0255990081531244,1,-0.119727861193892,0.0480883265019927
A,0.758108453561443,0.349554772843159,0.0723983003578739,-0.32962335194414,-0.0852458365895912,-0.0020556759734723,-0.220424476447453,-0.00635274037578296,-0.108601697598939,0.00386987719385617,-0.119727861193892,1,0.10270448974244
n,0.0651555406820972,0.00120666824512917,0.089459144500537,-0.157161112600101,0.00214684102709178,0.120135377793085,0.0511178988928862,0.0402869680706794,-0.928450705210657,0.391888273645555,0.0480883265019927,0.10270448974244,1
