Row,W_C,tc,bc,CO2ppm,RH,tw,bw,pSR,T,theta_xc,A,n
W_C,1,0.0694389176394984,-0.0478777589869458,-0.0661999344188232,0.0234654912803243,0.0147031735533434,-0.197454932348012,-0.00239706228824754,0.00211094633862612,-0.154287200299249,0.664855583846226,0.184515008997997
tc,0.0694389176394984,1,0.0393064675169626,0.131278485703567,-0.0644245231705601,-0.0414331361711486,0.0470873443678875,0.00729927930252017,0.114943930603971,0.000335698186207589,-0.25664204103686,-0.0337243569964282
bc,-0.0478777589869458,0.0393064675169626,1,-0.0495627477878936,-0.00978591548576705,-0.00689848195833603,0.0380171524485214,-0.0559616862872443,-0.0830841032030073,0.0090510871103971,-0.11573003509709,-0.0534675601102961
CO2ppm,-0.0661999344188232,0.131278485703567,-0.0495627477878936,1,0.0215133903523535,0.0368861100787386,-0.0126223775712845,-0.0399731686313891,0.0145335418933717,0.0498108531665079,-0.078236592855769,-0.0145096503442487
RH,0.0234654912803243,-0.0644245231705601,-0.00978591548576705,0.0215133903523535,1,-0.0104687527968544,-0.0040376671996024,-0.0563344689871596,0.00602316791677485,-0.00901837218973055,-0.180742026074848,0.0102675407907187
tw,0.0147031735533434,-0.0414331361711486,-0.00689848195833603,0.0368861100787386,-0.0104687527968544,1,0.0207807629361278,-0.0207593133868516,-0.0377935438575617,-0.00337326885529814,0.0685965926577422,0.0695693390782929
bw,-0.197454932348012,0.0470873443678875,0.0380171524485214,-0.0126223775712845,-0.0040376671996024,0.0207807629361278,1,0.0585087074327332,0.0875785200072222,-0.0543748973846188,-0.623693087819156,-0.860828015706514
pSR,-0.00239706228824754,0.00729927930252017,-0.0559616862872443,-0.0399731686313891,-0.0563344689871596,-0.0207593133868516,0.0585087074327332,1,0.0513279370897413,0.0889387583958824,0.145866408238418,0.282151255373093
T,0.00211094633862612,0.114943930603971,-0.0830841032030073,0.0145335418933717,0.00602316791677485,-0.0377935438575617,0.0875785200072222,0.0513279370897413,1,0.00615106030575606,-0.0442136069890756,-0.0773380306548777
theta_xc,-0.154287200299249,0.000335698186207589,0.0090510871103971,0.0498108531665079,-0.00901837218973055,-0.00337326885529814,-0.0543748973846188,0.0889387583958824,0.00615106030575606,1,-0.0631858392097197,0.0564845691073411
A,0.664855583846226,-0.25664204103686,-0.11573003509709,-0.078236592855769,-0.180742026074848,0.0685965926577422,-0.623693087819156,0.145866408238418,-0.0442136069890756,-0.0631858392097197,1,0.731187703101835
n,0.184515008997997,-0.0337243569964282,-0.0534675601102961,-0.0145096503442487,0.0102675407907187,0.0695693390782929,-0.860828015706514,0.282151255373093,-0.0773380306548777,0.0564845691073411,0.731187703101835,1
