Row,W_C,tc,bc,CO2ppm,RH,tw,bw,pSR,T,theta_xc,A,n
W_C,1,0.069917134516986,-0.0655382657444988,-0.0473992185653477,0.0306448729821872,0.0228249717391115,-0.211700767064677,0.00888808669521214,0.00256952110388744,-0.141150753860451,0.730258175381261,0.208294985888235
tc,0.069917134516986,1,0.0605024332832259,0.129187536137286,-0.0837883775579693,-0.0531214349543621,0.0412035536024748,0.00425119884443865,0.0971565925395757,-0.00566724263969881,-0.262651464874713,-0.0416993897513473
bc,-0.0655382657444988,0.0605024332832259,1,-0.05014651919994,-0.00383164155942638,-0.0355808570162101,0.0391165191942952,-0.0462357189016204,-0.0387295831908034,0.0144052403760984,-0.137693569934728,-0.0532290732939294
CO2ppm,-0.0473992185653477,0.129187536137286,-0.05014651919994,1,0.0254236980969859,0.015063718494885,-0.018041651948559,-0.0551204766247992,0.0029988285119058,0.053308354530229,-0.0660749996806468,-0.000737755912492416
RH,0.0306448729821872,-0.0837883775579693,-0.00383164155942638,0.0254236980969859,1,0.00245017850262534,-0.00370858106884946,-0.0401821972624614,0.00570531947428511,-0.0226527398769413,-0.20944976656252,-0.0229402667503086
tw,0.0228249717391115,-0.0531214349543621,-0.0355808570162101,0.015063718494885,0.00245017850262534,1,0.0124755437748921,-0.0362988665603464,-0.0240390460484329,-0.00270377081278386,0.0618348184371838,0.0779411913996268
bw,-0.211700767064677,0.0412035536024748,0.0391165191942952,-0.018041651948559,-0.00370858106884946,0.0124755437748921,1,0.0561635124813262,0.10275824270139,-0.071184174291903,-0.594725252433415,-0.896578501273039
pSR,0.00888808669521214,0.00425119884443865,-0.0462357189016204,-0.0551204766247992,-0.0401821972624614,-0.0362988665603464,0.0561635124813262,1,0.056472769457207,0.0841457943922553,0.183215744828496,0.347683855622366
T,0.00256952110388744,0.0971565925395757,-0.0387295831908034,0.0029988285119058,0.00570531947428511,-0.0240390460484329,0.10275824270139,0.056472769457207,1,0.00776168663932053,-0.0408768507177706,-0.0741769854425238
theta_xc,-0.141150753860451,-0.00566724263969881,0.0144052403760984,0.053308354530229,-0.0226527398769413,-0.00270377081278386,-0.071184174291903,0.0841457943922553,0.00776168663932053,1,-0.0438895662220913,0.103818078509552
A,0.730258175381261,-0.262651464874713,-0.137693569934728,-0.0660749996806468,-0.20944976656252,0.0618348184371838,-0.594725252433415,0.183215744828496,-0.0408768507177706,-0.0438895662220913,1,0.646528009854547
n,0.208294985888235,-0.0416993897513473,-0.0532290732939294,-0.000737755912492416,-0.0229402667503086,0.0779411913996268,-0.896578501273039,0.347683855622366,-0.0741769854425238,0.103818078509552,0.646528009854547,1
