Row,Racc_inv,kt,eps_t,tc,bc,CO2ppm,RH,tw,bw,pSR,theta_xc,xc42,A,n
Racc_inv,1,-0.0406084631747593,-0.000624057866647088,-0.0790125250081176,-0.0556942086431255,0.0144018401620573,0.0103324667687383,-0.0393786473365148,-0.00616367274732632,0.0122443836539738,-0.00196636722617048,0.521954420604176,0.770040738013868,-0.00368503703961812
kt,-0.0406084631747593,1,0.00274483905621376,0.00688933463639336,-0.0505377482082496,0.00821437558207196,-0.0364132759872072,0.0261890298042383,0.0123206937220651,-0.0342170331903043,0.0505844851898661,0.292347261188915,0.381871910464592,-0.0149424334453152
eps_t,-0.000624057866647088,0.00274483905621376,1,0.0156841308492005,-0.00178124310629759,0.0218653638694477,0.0620128454960642,0.0248414551726879,-0.0279027065286329,0.0472975333938466,0.0137583670384691,-0.00779606534436622,0.00641933801507926,0.035629883452538
tc,-0.0790125250081176,0.00688933463639336,0.0156841308492005,1,0.0128891209664112,-0.0396281966200497,-0.0139579598212272,0.0280278805976809,-0.0992949235840033,0.00413960060207501,-0.0933887029722659,-0.370947552555794,-0.405248458922834,0.100572027503635
bc,-0.0556942086431255,-0.0505377482082496,-0.00178124310629759,0.0128891209664112,1,0.0109479032893388,-0.0174541097653625,0.0201556475556222,-0.0089103000473599,-0.0131040473320745,-0.019508716372693,-0.10495076549809,-0.130224269734704,-0.00632713477958167
CO2ppm,0.0144018401620573,0.00821437558207196,0.0218653638694477,-0.0396281966200497,0.0109479032893388,1,-0.00599855684543929,-0.0158719311478119,0.0321656485774586,0.00332347040996835,-0.0124113078343733,0.0323506223294381,0.046573775254865,-0.0117380471005353
RH,0.0103324667687383,-0.0364132759872072,0.0620128454960642,-0.0139579598212272,-0.0174541097653625,-0.00599855684543929,1,-0.028804307439469,0.00568160232351153,0.09652915320381,-0.0580040492384265,-0.22760291618379,-0.27307248351369,0.00785694043630905
tw,-0.0393786473365148,0.0261890298042383,0.024841455172688,0.0280278805976809,0.0201556475556222,-0.0158719311478119,-0.028804307439469,1,0.0513592837257093,-0.0720954588149379,0.00747742670445289,-0.0145532111300688,-0.0184273569231513,0.0083840035748809
bw,-0.00616367274732632,0.0123206937220651,-0.0279027065286329,-0.0992949235840033,-0.0089103000473599,0.0321656485774586,0.00568160232351153,0.0513592837257093,1,0.0132022296832692,-0.00222428761225258,0.427663551091403,0.0314979014713383,-0.868678753483031
pSR,0.0122443836539738,-0.0342170331903043,0.0472975333938466,0.00413960060207501,-0.0131040473320745,0.00332347040996835,0.0965291532038101,-0.0720954588149379,0.0132022296832692,1,-0.0112802606653599,-0.152270890968294,-0.027828665340577,0.279994802726562
theta_xc,-0.00196636722617048,0.0505844851898661,0.0137583670384691,-0.0933887029722659,-0.019508716372693,-0.0124113078343733,-0.0580040492384265,0.00747742670445289,-0.00222428761225258,-0.0112802606653599,1,0.5250323762761,0.067219973691672,0.00221779952940953
xc42,0.521954420604176,0.292347261188915,-0.00779606534436622,-0.370947552555794,-0.10495076549809,0.0323506223294381,-0.22760291618379,-0.0145532111300688,0.427663551091403,-0.152270890968294,0.5250323762761,1,0.738902905543332,-0.46206412671901
A,0.770040738013868,0.381871910464592,0.00641933801507926,-0.405248458922834,-0.130224269734704,0.046573775254865,-0.27307248351369,-0.0184273569231513,0.0314979014713383,-0.027828665340577,0.067219973691672,0.738902905543332,1,-0.0408870177690732
n,-0.00368503703961812,-0.0149424334453152,0.035629883452538,0.100572027503635,-0.00632713477958167,-0.0117380471005353,0.00785694043630905,0.0083840035748809,-0.868678753483031,0.279994802726562,0.00221779952940953,-0.46206412671901,-0.0408870177690732,1
