Row,W_C,tc,bc,CO2ppm,RH,tw,bw,pSR,T,theta_xc,phi_cl,CaO,xc42,A,n
W_C,1,0.0799387229851579,-0.0292951825113135,-0.0487932304568233,0.0142930284269413,-0.0114886332338129,0.0215887796815429,-0.00416115552419612,0.0515809791651821,0.0427833934689903,NaN,NaN,0.45189860519899,0.64128291433368,-0.0255456172295506
tc,0.0799387229851579,1,-0.00919286726731929,0.00132437009463644,0.00132146782188015,-0.00703319763628332,0.0281565492313397,-0.00436224343657622,0.0321924183399512,0.0374293094085709,NaN,NaN,-0.162056463756042,-0.315552823712059,-0.0240424236297642
bc,-0.0292951825113135,-0.00919286726731929,1,0.0120589216411019,0.0265077102667908,-0.0303975777879518,-0.0028089635265769,-0.00271108153749111,0.0156205739839701,-0.00672626977303263,NaN,NaN,-0.0755149885699115,-0.082120333273048,0.00132451430008845
CO2ppm,-0.0487932304568233,0.00132437009463644,0.0120589216411019,1,0.0154480148302288,0.0176878086149088,-0.0390476022961128,0.0458470396353127,0.0457933696666273,-0.031889545040493,NaN,NaN,-0.0586286958650949,0.0156560847122096,0.0607526707531233
RH,0.0142930284269413,0.00132146782188015,0.0265077102667908,0.0154480148302288,1,-0.00220338750223634,-0.0150871384700487,-0.0163556117927676,0.0425678381242528,0.0205335943250654,NaN,NaN,-0.167279841009,-0.277106313380355,0.00546649239863465
tw,-0.0114886332338129,-0.00703319763628332,-0.0303975777879518,0.0176878086149088,-0.00220338750223634,1,-0.0014279744656788,-0.00613351230351735,0.00696048086905205,-0.0078970304424697,NaN,NaN,-0.0650152456968575,0.0416386430816879,0.0940474224148647
bw,0.0215887796815429,0.0281565492313397,-0.0028089635265769,-0.0390476022961128,-0.0150871384700487,-0.0014279744656788,1,0.031739611327794,0.0334522437862892,0.0102884982582448,NaN,NaN,0.585160421366284,-0.477589073410223,-0.900203954419652
pSR,-0.00416115552419612,-0.00436224343657622,-0.00271108153749111,0.0458470396353127,-0.0163556117927676,-0.00613351230351735,0.031739611327794,1,0.0377853198976185,0.00421917071578992,NaN,NaN,-0.234077563453184,0.188426938305279,0.36256351956166
T,0.0515809791651821,0.0321924183399512,0.0156205739839701,0.0457933696666273,0.0425678381242528,0.00696048086905205,0.0334522437862892,0.0377853198976185,1,-0.0184379159097438,NaN,NaN,0.0210335634869314,0.0257626680990323,-0.0180761403671956
theta_xc,0.0427833934689903,0.0374293094085709,-0.00672626977303263,-0.031889545040493,0.0205335943250654,-0.0078970304424697,0.0102884982582448,0.00421917071578992,-0.0184379159097438,1,NaN,NaN,0.488602776401552,-0.0029549965706475,-0.0149061004089266
phi_cl,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CaO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xc42,0.45189860519899,-0.162056463756042,-0.0755149885699115,-0.0586286958650949,-0.167279841009,-0.0650152456968575,0.585160421366284,-0.234077563453184,0.0210335634869314,0.488602776401552,NaN,NaN,1,0.0722754321367715,-0.650279390976108
A,0.64128291433368,-0.315552823712059,-0.082120333273048,0.0156560847122096,-0.277106313380355,0.0416386430816879,-0.477589073410223,0.188426938305279,0.0257626680990323,-0.0029549965706475,NaN,NaN,0.0722754321367715,1,0.521906290938087
n,-0.0255456172295506,-0.0240424236297642,0.00132451430008845,0.0607526707531233,0.00546649239863465,0.0940474224148647,-0.900203954419652,0.36256351956166,-0.0180761403671956,-0.0149061004089266,NaN,NaN,-0.650279390976108,0.521906290938087,1
