Row,Racc_inv,kt,eps_t,tc,bc,CO2ppm,RH,tw,bw,pSR,theta_xc,xc42,A,n
Racc_inv,1,-0.00342131847574554,-0.000480292335855419,-0.0863595973640083,-0.0220082166557988,0.00291381561322379,0.00101442634975895,-0.0365130420511793,-0.00828364620356191,0.0076964887570581,0.00347885245242531,0.538341869853635,0.784233587707026,-0.0105357004925111
kt,-0.00342131847574554,1,-0.0105913571301649,-0.0158758910340991,-0.0313110867135541,0.00113554848305099,-0.026285957622154,0.0411839764649584,0.0306623969294608,-0.063843587445092,0.0619152249660838,0.322970310226071,0.395709688283863,-0.0476512842194873
eps_t,-0.000480292335855419,-0.0105913571301649,1,0.0174066358959198,-0.00787875267893838,0.0408015663947319,0.0593194685854063,0.0354442510358692,-0.0207425879379273,0.0445981419126308,0.030962006271406,-0.00112638863901887,-0.000211102417480382,0.035096014975718
tc,-0.0863595973640083,-0.0158758910340991,0.0174066358959198,1,0.0111518669600994,-0.0384310761831911,0.00438034149926191,0.000134849879437738,-0.125708460687452,0.0137271579263116,-0.109896110818031,-0.395771859994219,-0.416683592189021,0.130347128157375
bc,-0.0220082166557988,-0.0313110867135541,-0.00787875267893838,0.0111518669600994,1,0.0217409054546866,-0.00477483473847196,0.00116925333305584,-0.0013512236726085,-0.00291000779669004,-0.0103188902701037,-0.0827376154613713,-0.0992418171041652,-0.0154578981911065
CO2ppm,0.00291381561322379,0.00113554848305099,0.0408015663947319,-0.0384310761831911,0.0217409054546866,1,-0.00755680570698258,-0.0179514166853348,0.0495440465570988,0.005768071500125,-0.0196024793545697,0.0265449244132913,0.0289225654412418,-0.0291400378077613
RH,0.00101442634975895,-0.026285957622154,0.0593194685854063,0.00438034149926191,-0.00477483473847196,-0.00755680570698258,1,-0.0283435791230398,-0.00117969454336728,0.0935307273007924,-0.079975890587435,-0.237000866028695,-0.271080802325355,0.00951603451621705
tw,-0.0365130420511793,0.0411839764649584,0.0354442510358692,0.000134849879437738,0.00116925333305584,-0.0179514166853348,-0.0283435791230398,1,0.0395978966975087,-0.0787643643071895,-0.00132163626936216,-0.00492531564362482,0.00114177423147128,0.0161785963992416
bw,-0.00828364620356191,0.0306623969294608,-0.0207425879379273,-0.125708460687452,-0.0013512236726085,0.0495440465570988,-0.00117969454336728,0.0395978966975087,1,-0.00424446864387661,0.0343896996318481,0.425954390566323,0.0491910100683256,-0.870225841248791
pSR,0.0076964887570581,-0.063843587445092,0.0445981419126308,0.0137271579263116,-0.00291000779669004,0.005768071500125,0.0935307273007924,-0.0787643643071895,-0.00424446864387661,1,-0.0306704392592484,-0.173858664858914,-0.0434557076191399,0.317925441653268
theta_xc,0.00347885245242531,0.0619152249660838,0.030962006271406,-0.109896110818031,-0.0103188902701037,-0.0196024793545697,-0.079975890587435,-0.00132163626936216,0.0343896996318481,-0.0306704392592484,1,0.533763188637991,0.0817939962037545,-0.0432613203439414
xc42,0.538341869853635,0.322970310226071,-0.00112638863901887,-0.395771859994219,-0.0827376154613713,0.0265449244132913,-0.237000866028695,-0.00492531564362482,0.425954390566322,-0.173858664858914,0.533763188637991,1,0.761395786955589,-0.471892627972242
A,0.784233587707026,0.395709688283863,-0.000211102417480382,-0.416683592189021,-0.0992418171041652,0.0289225654412418,-0.271080802325355,0.00114177423147128,0.0491910100683256,-0.0434557076191399,0.0817939962037545,0.761395786955589,1,-0.0707042405653526
n,-0.0105357004925111,-0.0476512842194873,0.035096014975718,0.130347128157375,-0.0154578981911065,-0.0291400378077613,0.00951603451621705,0.0161785963992416,-0.870225841248791,0.317925441653268,-0.0432613203439414,-0.471892627972242,-0.0707042405653526,1
