Row,W_C,tc,bc,CO2ppm,RH,tw,bw,pSR,T,theta_xc,phi_cl,CaO,xc42,A,n
W_C,1,0.0635864654296,-0.0456932027742132,-0.0569473572068755,0.00757881322527852,-0.00945347115544614,0.0284486256475113,-0.0438915376164368,0.0660298051259125,0.0494767444234158,NaN,NaN,0.466179951146785,0.653464316559925,-0.0491760702595337
tc,0.0635864654296,1,0.00805393064265807,0.0377728492413005,-0.00384560853812488,-0.014977046492927,0.00935403748279219,0.0191204043332696,0.0211751139351913,0.0196948642731031,NaN,NaN,-0.191610105636265,-0.317216533235816,0.0023759925192218
bc,-0.0456932027742132,0.00805393064265807,1,0.0236978257556838,0.0520113406254215,-0.0345348635226244,-0.0214480525426786,0.000313609393555387,0.0237763116170916,-0.0377259247785318,NaN,NaN,-0.11160864229069,-0.10639205137366,0.0172075879931582
CO2ppm,-0.0569473572068755,0.0377728492413005,0.0236978257556838,1,0.0020572566612979,0.0312999785225286,-0.0413879250289943,0.041784608218602,0.0327204819287988,-0.0293972217927622,NaN,NaN,-0.059749804837624,0.00601041086335355,0.0577107308278239
RH,0.00757881322527852,-0.00384560853812488,0.0520113406254215,0.0020572566612979,1,-0.00808239889331292,-0.0398620140292736,-0.0148301436185963,0.0373678636593799,-0.00739126567990375,NaN,NaN,-0.187399947360612,-0.277158490293175,0.0268280043830851
tw,-0.00945347115544614,-0.014977046492927,-0.0345348635226244,0.0312999785225286,-0.00808239889331292,1,-0.00601076415835358,-0.00797680275268235,0.0237415692581642,-0.00964003161084481,NaN,NaN,-0.0593152054297405,0.0509229257116766,0.097058272586058
bw,0.0284486256475113,0.00935403748279219,-0.0214480525426786,-0.0413879250289943,-0.0398620140292736,-0.00601076415835358,1,0.0171311837728186,0.0212891861999107,0.0203593517286576,NaN,NaN,0.569292234238861,-0.453551836960965,-0.895148898482926
pSR,-0.0438915376164368,0.0191204043332696,0.000313609393555387,0.041784608218602,-0.0148301436185963,-0.00797680275268235,0.0171311837728186,1,0.0154659851591039,-0.0210008381081658,NaN,NaN,-0.27658585656667,0.165897079606292,0.388054795093374
T,0.0660298051259125,0.0211751139351913,0.0237763116170916,0.0327204819287988,0.0373678636593799,0.0237415692581642,0.0212891861999107,0.0154659851591039,1,-0.00484340856587275,NaN,NaN,0.0282135570861877,0.0400779212984672,-0.0132048120149176
theta_xc,0.0494767444234158,0.0196948642731031,-0.0377259247785318,-0.0293972217927622,-0.00739126567990375,-0.00964003161084481,0.0203593517286576,-0.0210008381081658,-0.00484340856587275,1,NaN,NaN,0.511038486342243,0.00476441423490884,-0.0337109988671299
phi_cl,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CaO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xc42,0.466179951146785,-0.191610105636265,-0.11160864229069,-0.059749804837624,-0.187399947360612,-0.0593152054297405,0.569292234238861,-0.27658585656667,0.0282135570861877,0.511038486342243,NaN,NaN,1,0.112241056231862,-0.649353524324422
A,0.653464316559925,-0.317216533235816,-0.10639205137366,0.00601041086335355,-0.277158490293175,0.0509229257116766,-0.453551836960965,0.165897079606292,0.0400779212984672,0.00476441423490884,NaN,NaN,0.112241056231862,1,0.485578952891675
n,-0.0491760702595337,0.0023759925192218,0.0172075879931582,0.0577107308278239,0.0268280043830851,0.097058272586058,-0.895148898482926,0.388054795093374,-0.0132048120149176,-0.0337109988671299,NaN,NaN,-0.649353524324422,0.485578952891675,1
