Model,Parameter,PriorPDF,PriorMean,PriorStd,PriorCoV,PosteriorPDF,PosteriorMean,PosteriorStd,PosteriorCoV,PosteriorMedian,PosteriorP2p5,PosteriorP97p5,AIC_Normal,AIC_Lognormal
malami,W_C,Gaussian,0.55,0.055,0.1,Normal,0.571422161380158,0.0527112751299811,0.0922457662521652,0.571598284279453,0.465291678114729,0.672931857819333,-304794.472755708,-302875.598000792
malami,tc,Uniform,2,0.577350269189626,0.288675134594813,Lognormal,1.88880199696603,0.558910469656002,0.295907390268421,1.83156778128667,1.04088742238884,2.91680468908897,167437.510586645,164471.707517244
malami,bc,Gaussian,-0.567,0.023814,0.042,Normal,-0.567794284473682,0.0232957479170837,0.0410285002052772,-0.567601253205145,-0.613548149533208,-0.522262140725197,-468106.178937736,NaN
malami,CO2ppm,Gaussian,392,3.528,0.009,Normal,392.228913874316,3.47522349966403,0.00886019203769772,392.222540914753,385.471685414487,399.045102812658,532922.465320659,532939.008447837
malami,RH,Gaussian,75.6,2.646,0.035,Normal,75.1638275381721,2.59770401154432,0.0345605605332574,75.1504548978558,70.0016322476398,80.141839502778,474716.303122191,475046.465020661
malami,tw,Gaussian,0.156,0.01794,0.115,Normal,0.15428419486602,0.0182358450973117,0.118196456306803,0.15415542872333,0.118561511646047,0.190059633556488,-517082.515559417,-515146.914811277
malami,bw,Gaussian,0.446,0.16279,0.365,Normal,0.534511230782478,0.140147861302945,0.26219816017295,0.528970709573864,0.271691631977286,0.825306564710066,-109220.745668116,-103640.274812226
malami,pSR,Uniform,0.146,0.0584,0.4,Lognormal,0.131497825466061,0.0576893045228251,0.438709190196566,0.12442965576371,0.0475800105951606,0.237586229143025,-286745.99060025,-290915.355037624
malami,T,Gaussian,283.25,0.5665,0.002,Lognormal,283.189002434843,0.530827460690698,0.00187446354246342,283.187215737766,282.149731402293,284.244627048433,157127.0579753,157120.791727746
malami,theta_xc,Gaussian,1,0.2,0.2,Normal,1.08454291276062,0.192650281000754,0.177632695519974,1.08457874631782,0.714784735275884,1.46323533029409,-45585.0432197527,-39719.1160542804
malami,phi_cl,Derived/not prior,NaN,NaN,NaN,Lognormal,0.975000000000015,1.54321772033686e-14,1.58278740547368e-14,0.975,0.975,0.975,-6076673.62066338,-6882889.31851184
malami,CaO,Derived/not prior,NaN,NaN,NaN,Lognormal,0.679999999999991,8.88182860625531e-15,1.3061512656258e-14,0.68,0.68,0.68,-6187163.08035482,-6305823.4494726
malami,xc42,Derived/not prior,NaN,NaN,NaN,Normal,14.600770446282,5.21761463640992,0.357352007937264,14.1686268850539,5.33737554859445,25.5621288189919,614198.77289067,622342.18757427
malami,A,Derived/not prior,NaN,NaN,NaN,Lognormal,0.213702303987639,0.0524610531170025,0.245486605142249,0.20775026906535,0.128960125565293,0.331255205017561,-305746.139374754,-315104.843520468
malami,n,Derived/not prior,NaN,NaN,NaN,Lognormal,0.069976713882628,0.0417302655175335,0.596345029684127,0.0604916020602015,0.0153405572065935,0.176305347481488,-351515.017688964,-379594.82857567
