Row,Racc_inv,kt,eps_t,tc,bc,CO2ppm,RH,tw,bw,pSR,theta_xc,xc42,A,n
Racc_inv,1,-0.0135872520050368,0.0169601851825781,-0.082165073873919,-0.0570294482838333,0.0121329567915194,0.00788364555455041,-0.0267196178148021,-0.00467533545673756,0.000534882371555492,0.0155231091302264,0.539399799832533,0.769375458358084,0.00567785988906982
kt,-0.0135872520050368,1,0.0080975422820878,0.0094744533023095,-0.0488951111548438,-0.00321006081013503,-0.0318125505215595,0.0166297716663251,0.00784979739416303,-0.0267422311076924,0.0452631588496526,0.289907813001175,0.389566514017021,-0.010108974149361
eps_t,0.0169601851825781,0.0080975422820878,1,0.0106484870868509,-0.00850112361906416,0.0265043062868446,0.0579490322894453,0.0239679322731269,-0.0191645405309306,0.0423504987568733,0.00678811890064885,-0.00137764350275977,0.00982874388904094,0.0330639000169806
tc,-0.082165073873919,0.0094744533023095,0.0106484870868509,1,0.0134419826408823,-0.0359104532170773,-0.0144542271604435,0.0264819577509864,-0.0939174039739343,0.00228134552764215,-0.0876582571759804,-0.369522807972277,-0.412895182953918,0.0930128825096839
bc,-0.0570294482838333,-0.0488951111548438,-0.00850112361906416,0.0134419826408823,1,0.00728100514970615,-0.0152974187055358,0.0234624075769204,-0.00600900702793894,-0.0218537698393155,-0.0138145603125675,-0.0911929720470419,-0.131469500300774,-0.00587480080183752
CO2ppm,0.0121329567915194,-0.00321006081013503,0.0265043062868446,-0.0359104532170773,0.00728100514970615,1,0.00205568614888358,-0.0185933976447415,0.0263416655443083,0.0074705680033651,-0.0140478562062069,0.0255963684659618,0.038117552592938,-0.022788175652849
RH,0.00788364555455041,-0.0318125505215595,0.0579490322894453,-0.0144542271604435,-0.0152974187055358,0.00205568614888358,1,-0.0207175129726339,0.012289135147799,0.0859932452690779,-0.0617988659212143,-0.221300516345397,-0.264234779408383,0.0211061737953527
tw,-0.0267196178148021,0.0166297716663251,0.0239679322731269,0.0264819577509864,0.0234624075769204,-0.0185933976447415,-0.0207175129726339,1,0.0598052763230509,-0.0662742243365378,0.00108444916806645,-0.0106934515292594,-0.0128042440128625,0.0137202351520061
bw,-0.00467533545673756,0.00784979739416303,-0.0191645405309306,-0.0939174039739343,-0.00600900702793894,0.0263416655443083,0.012289135147799,0.0598052763230509,1,0.0130612405125162,-0.00182465131269248,0.412387726399347,0.0335236787008186,-0.913876314000883
pSR,0.000534882371555492,-0.0267422311076924,0.0423504987568733,0.00228134552764215,-0.0218537698393155,0.0074705680033651,0.0859932452690779,-0.0662742243365378,0.0130612405125162,1,-0.00206858943764087,-0.158250860216296,-0.0363831014642365,0.34770352346135
theta_xc,0.0155231091302264,0.0452631588496526,0.00678811890064885,-0.0876582571759804,-0.0138145603125675,-0.0140478562062069,-0.0617988659212143,0.00108444916806645,-0.00182465131269248,-0.00206858943764087,1,0.515059451110187,0.0799230170037548,0.00444824550535885
xc42,0.539399799832533,0.289907813001175,-0.00137764350275977,-0.369522807972277,-0.0911929720470419,0.0255963684659618,-0.221300516345397,-0.0106934515292594,0.412387726399347,-0.158250860216296,0.515059451110187,1,0.739822018716589,-0.444460206823771
A,0.769375458358084,0.389566514017021,0.00982874388904094,-0.412895182953918,-0.131469500300774,0.038117552592938,-0.264234779408383,-0.0128042440128625,0.0335236787008186,-0.0363831014642365,0.0799230170037548,0.739822018716589,1,-0.0413345835551037
n,0.00567785988906982,-0.010108974149361,0.0330639000169806,0.0930128825096839,-0.00587480080183752,-0.022788175652849,0.0211061737953527,0.0137202351520061,-0.913876314000883,0.34770352346135,0.00444824550535885,-0.444460206823771,-0.0413345835551037,1
