Row,W_C,tc,bc,CO2ppm,RH,tw,bw,pSR,T,theta_xc,phi_cl,CaO,xc42,A,n
W_C,1,0.0760010403155135,-0.0349764759805552,-0.0488887478737505,0.00684899783900417,-0.0090234440990576,0.0229709872295213,-0.006876374047447,0.0527867708041841,0.0436807525588303,-1.11319377701468e-15,1.15234689905913e-15,0.472467891410399,0.60220825362709,-0.0309012238030018
tc,0.0760010403155135,1,-0.0250093763192284,0.00393339644111318,0.00434848582429153,-0.00608903289699368,0.0287890641646818,-0.00402635027822722,0.0430583176601085,0.0371798469442095,-3.26971678087916e-16,2.82245444624708e-16,-0.156973996002489,-0.298250554561835,-0.02617563542603
bc,-0.0349764759805552,-0.0250093763192284,1,0.00388378450137994,0.0207748766492065,-0.0247405572306566,-0.0130166532541421,0.000744028928303113,0.0169167794291545,-0.0151160358078637,5.2236399952626e-15,-5.2346956774579e-15,-0.0697636877950289,-0.0701596259016312,0.024479426150874
CO2ppm,-0.0488887478737505,0.00393339644111318,0.00388378450137994,1,0.0124146113345659,0.00481271622815601,-0.0375969859785267,0.0466714903128127,0.0400000764805349,-0.0330079661806722,-1.45688182088373e-14,1.45470696717752e-14,-0.0709134744259725,0.00454674540009228,0.0461029061218386
RH,0.00684899783900417,0.00434848582429153,0.0207748766492065,0.0124146113345659,1,-0.00505281335663853,-0.0243055940713798,-0.00877766323892996,0.0456009248795667,0.0282616704106076,-5.33067807328317e-15,5.36125168857863e-15,-0.180749438010339,-0.255805844480302,0.0179151820792482
tw,-0.0090234440990576,-0.00608903289699368,-0.0247405572306566,0.00481271622815601,-0.00505281335663853,1,0.00156096491173931,-0.0104436025186434,0.00690059512456821,-0.0068412082515522,-2.31693720618378e-16,2.254345988928e-16,-0.0661305149806504,0.0458034248476387,0.0816214857019981
bw,0.0229709872295213,0.0287890641646818,-0.0130166532541421,-0.0375969859785267,-0.0243055940713798,0.00156096491173931,1,0.0282033478382896,0.0352098013276449,-0.00194771093002501,-4.18474687321497e-16,4.06085371213158e-16,0.587209568790163,-0.516790654226662,-0.864357169259251
pSR,-0.006876374047447,-0.00402635027822722,0.000744028928303113,0.0466714903128127,-0.00877766323892996,-0.0104436025186434,0.0282033478382896,1,0.0398066688857038,0.00738143680471342,2.59863413206167e-17,-5.97082342447338e-17,-0.227646160976064,0.190681612513315,0.313041341787471
T,0.0527867708041841,0.0430583176601085,0.0169167794291545,0.0400000764805349,0.0456009248795667,0.00690059512456821,0.0352098013276449,0.0398066688857038,1,-0.0156525394244607,9.42102305947434e-14,-9.42400350344065e-14,0.0327384773812272,0.018005269865506,-0.0268239605368828
theta_xc,0.0436807525588303,0.0371798469442095,-0.0151160358078637,-0.0330079661806722,0.0282616704106076,-0.0068412082515522,-0.00194771093002501,0.00738143680471342,-0.0156525394244607,1,-1.99714044590229e-17,9.42416498231141e-17,0.496473255668469,-0.00603204645038959,-0.0175736885670243
phi_cl,-1.11319377701468e-15,-3.26971678087916e-16,5.22363999526261e-15,-1.45688182088373e-14,-5.33067807328317e-15,-2.31693720618378e-16,-4.18474687321497e-16,2.59863413206167e-17,9.42102305947434e-14,-1.99714044590229e-17,1,-1,-2.64138760353588e-16,4.53696735316517e-16,2.42863432260287e-16
CaO,1.15234689905913e-15,2.82245444624708e-16,-5.2346956774579e-15,1.45470696717752e-14,5.36125168857863e-15,2.254345988928e-16,4.06085371213158e-16,-5.97082342447338e-17,-9.42400350344065e-14,9.42416498231141e-17,-1,1,2.90675223310214e-16,-4.24618314446251e-16,-2.29666748653577e-16
xc42,0.472467891410399,-0.156973996002489,-0.0697636877950289,-0.0709134744259725,-0.180749438010339,-0.0661305149806504,0.587209568790163,-0.227646160976064,0.0327384773812272,0.496473255668469,-2.64138760353588e-16,2.90675223310214e-16,1,-0.00758724053642043,-0.655503951755048
A,0.60220825362709,-0.298250554561835,-0.0701596259016312,0.00454674540009227,-0.255805844480302,0.0458034248476388,-0.516790654226662,0.190681612513316,0.018005269865506,-0.00603204645038959,4.53696735316517e-16,-4.24618314446251e-16,-0.00758724053642043,1,0.622353268549084
n,-0.0309012238030018,-0.02617563542603,0.024479426150874,0.0461029061218386,0.0179151820792482,0.0816214857019981,-0.864357169259251,0.313041341787471,-0.0268239605368828,-0.0175736885670243,2.42863432260287e-16,-2.29666748653577e-16,-0.655503951755048,0.622353268549084,1
