Parameter,Mean,Std,CoV,Q025,Q975
Racc_inv,1.1772410248045e-10,5.07234509927837e-11,0.430867170987411,4.74771566355894e-11,2.42992308853298e-10
kt,1.32482176670049,0.29839194450777,0.225231764761024,0.829341609975127,1.99760416415788
eps_t,9.96696281070623e-12,1.51713895386136e-12,0.152216776833128,6.96278858706813e-12,1.28846039715327e-11
tc,1.82923802357816,0.577808625741512,0.315873942206419,1.025124590379,2.94554469484717
bc,-0.569024494287962,0.0238484259191087,0.0419110708915106,-0.614979996304832,-0.522931613155274
CO2ppm,392.093338037291,3.41216904702665,0.00870244076093464,385.447776917337,398.759607475866
RH,75.3840901214864,2.62049380335501,0.0347618947065874,70.16783727808,80.5775681960419
tw,0.155059530069754,0.0183165633038169,0.118126008092357,0.118522557974713,0.190710232643292
bw,0.518332600236548,0.149051660760687,0.287559880842273,0.231822441442428,0.816850366095052
pSR,0.135587588345341,0.0584053400787135,0.430757274994489,0.0494454276587783,0.240357489266006
theta_xc,1.08656056280062,0.19117472420385,0.175944839845001,0.710126927379128,1.46653787731429
T_K,283.25,0,0,283.25,283.25
