Parameter,Mean,Std,CoV,Q025,Q975
W_C,0.56792242088887,0.052871050859089,0.0930955512838164,0.462286167893799,0.669204633641458
tc,1.89994798043518,0.564921738069169,0.297335371224098,1.0402538826988,2.9167602290501
bc,-0.567731448728841,0.0235843225846812,0.0415413354984771,-0.613801649786437,-0.521798273918354
CO2ppm,392.260151765698,3.45126021542132,0.00879839616613111,385.617840920416,399.029660606094
RH,75.2772918763877,2.62412398348452,0.0348594365986701,70.0949810646409,80.4020557352798
tw,0.15398703914108,0.0183331969294166,0.119056753293503,0.117935822158551,0.189851706418036
bw,0.523811852840022,0.142011579450086,0.27111180986097,0.253365442965645,0.816335137632985
pSR,0.133727734271521,0.0575974834935832,0.430707091594306,0.0479638776836655,0.237421466251863
T_K,283.198264188981,0.533638159686274,0.00188432708517653,282.151275545557,284.266572832605
theta_xc,1.07258888518748,0.193504363819942,0.18040869758418,0.700268652223657,1.45669998497913
