Case,Parameter,Alpha2
fib_caseI,Racc_inv,0.338790002710326
fib_caseI,kt,0.0984502315649124
fib_caseI,eps_t,0.000111566820407538
fib_caseI,tc,0.146879395395183
fib_caseI,bc,0.0031785081208072
fib_caseI,CO2ppm,0.000165866960640257
fib_caseI,RH,0.0390585048685883
fib_caseI,tw,0.00130743918525039
fib_caseI,bw,0.103323472965308
fib_caseI,pSR,0.0445060844362323
fib_caseI,theta_xc,0.224228926972345
fib_caseII,Racc_inv,0.182192218397584
fib_caseII,kt,0.0529439061023231
fib_caseII,eps_t,8.70371619112995e-05
fib_caseII,tc,0.090584020655443
fib_caseII,bc,0.00152979497587366
fib_caseII,CO2ppm,9.09125102176135e-05
fib_caseII,RH,0.0223827316727857
fib_caseII,tw,0.000873703321626171
fib_caseII,bw,0.0727161065446581
fib_caseII,pSR,0.0285516316452227
fib_caseII,theta_xc,0.134184742125216
fib_caseII,Cr,0.413863194887139
malami_caseI,W_C,0.206699265561115
malami_caseI,tc,0.154935672142468
malami_caseI,bc,0.00285435396404635
malami_caseI,CO2ppm,0.000175819315858648
malami_caseI,RH,0.0427191947151217
malami_caseI,tw,0.00327665373269355
malami_caseI,bw,0.227367456912918
malami_caseI,pSR,0.113132296049846
malami_caseI,T,0.000395687175553821
malami_caseI,theta_xc,0.24844360043038
malami_caseII,W_C,0.117376376318722
malami_caseII,tc,0.080401278762719
malami_caseII,bc,0.00128423090267914
malami_caseII,CO2ppm,9.02165312407883e-05
malami_caseII,RH,0.0228596553679218
malami_caseII,tw,0.00219521239022121
malami_caseII,bw,0.160999938545216
malami_caseII,pSR,0.0740027326685833
malami_caseII,T,0.000205641542755745
malami_caseII,theta_xc,0.138839790717797
malami_caseII,Cr,0.401744926252144
