t_years,pf_fib_caseI_mcs,beta_fib_caseI_mcs,beta_fib_caseI_form,pf_fib_caseII_mcs,beta_fib_caseII_mcs,beta_fib_caseII_form,pf_malami_caseI_mcs,beta_malami_caseI_mcs,beta_malami_caseI_form,pf_malami_caseII_mcs,beta_malami_caseII_mcs,beta_malami_caseII_form
0.5,1e-12,7.03448382530113,7.82591633523628,1e-12,7.03448382530113,5.43506109129802,1e-12,7.03448382530113,14.1627903651271,1e-12,7.03448382530113,5.83343914474163
1.5,1e-12,7.03448382530113,6.35522959750464,1e-05,4.26489079392282,4.29128271079255,1e-12,7.03448382530113,9.17510609003526,6.66666666666667e-06,4.35456184823995,4.44116581813792
2.5,1e-12,7.03448382530113,5.51753397820115,5.33333333333333e-05,3.87490417243123,3.74438278149819,1e-12,7.03448382530113,7.33001230792881,4.66666666666667e-05,3.90729976113466,3.81000206233991
3.5,1e-12,7.03448382530113,4.97064759612548,0.000216666666666667,3.51890409040434,3.38390222590533,1e-12,7.03448382530113,6.25562157130702,0.00021,3.52718701065002,3.4022261470053
4.5,1e-12,7.03448382530113,4.55901327566447,0.000596666666666667,3.240468793376,3.11536271210174,1e-12,7.03448382530113,5.5200798592885,0.000506666666666667,3.2867984464026,3.1024149412997
5.5,6.66666666666667e-06,4.35456184823995,4.23556964158909,0.00124333333333333,3.02495920371674,2.90168153171897,1e-12,7.03448382530113,4.97144586558525,0.00110666666666667,3.06000494999165,2.86621753916656
6.5,2e-05,4.10747965458625,3.96836401838215,0.00227666666666667,2.83704402295232,2.72445132511235,1e-12,7.03448382530113,4.54737523369516,0.00212,2.85973136948341,2.67189694308983
7.5,5.33333333333333e-05,3.87490417243123,3.74117401960632,0.00352,2.69494618606759,2.57319259381696,1e-12,7.03448382530113,4.18733196793805,0.00347,2.69970971786103,2.50719120570368
8.5,0.000103333333333333,3.71072481570887,3.54389288063112,0.00515333333333333,2.56536719976465,2.44137094437734,3.33333333333333e-06,4.50406224231063,3.89185637982572,0.00529333333333333,2.55605407125009,2.36450990284639
9.5,0.000206666666666667,3.53142098389768,3.36980038300926,0.00714,2.4501417136174,2.32463759376351,3e-05,4.01281081111825,3.63899286516433,0.00755,2.42997174365456,2.23883204675474
10.5,0.00037,3.37431364856865,3.214203091435,0.00957333333333333,2.34266303553985,2.21995268876696,8e-05,3.77501193935636,3.419073261085,0.0102266666666667,2.31792618025676,2.12666631917948
11.5,0.000633333333333333,3.22342680303054,3.0736940107189,0.0123566666666667,2.24585443384516,2.12510818994082,0.0002,3.54008379920614,3.22528528303897,0.0133666666666667,2.21538961783153,2.02548855697872
12.5,0.00093,3.1117213089817,2.9457226965601,0.0153933333333333,2.1598192262595,2.03844998779088,0.00039,3.35979615874893,3.05266319192017,0.0168966666666667,2.12252908031487,1.93341577492265
13.5,0.00127,3.01853507186694,2.8283363671096,0.0186666666666667,2.08210003525935,1.95870709733396,0.0007,3.19465105376329,2.897484931051,0.02113,2.03095065982417,1.84900668473813
14.5,0.00174,2.92181336865769,2.71999269081088,0.0221466666666667,2.01130421721982,1.88488196393977,0.00113,3.05375043736452,2.75689495810791,0.0254566666666667,1.9522095288717,1.7711340703759
15.5,0.0024,2.82015805932016,2.61946729781267,0.02604,1.94247188760983,1.81617738513907,0.00174666666666667,2.92062205185886,2.62865820502821,0.0302633333333333,1.87693745464398,1.69890007746386
16.5,0.00314666666666667,2.73209321171765,2.5257649874527,0.03018,1.87815473773304,1.75194631044552,0.0025,2.8070337683438,2.51099870450896,0.0351233333333333,1.8103168424318,1.6315782038028
17.5,0.00419,2.63636312787964,2.43806738643872,0.0343466666666667,1.82043140609787,1.69165642738369,0.00364,2.68375699230835,2.40247833537143,0.0401566666666667,1.74887092549059,1.56857249388069
18.5,0.00521333333333333,2.56134863036571,2.3556934841852,0.03901,1.76229185101914,1.63486459718467,0.00491333333333333,2.58186974100328,2.30192319170534,0.0457466666666667,1.68757244026301,1.50938817531488
19.5,0.00648666666666667,2.48450047981893,2.27807058931548,0.0437833333333333,1.70837562726722,1.58119803283542,0.00653666666666667,2.481765349222,2.20836148332692,0.05146,1.63085935386127,1.45361008798704
20.5,0.00801333333333333,2.40830770647309,2.20471256918672,0.0487166666666667,1.65742622326276,1.53034018810098,0.00836,2.39280773828069,2.12098109888587,0.05747,1.57637242261678,1.40088655556601
21.5,0.00981,2.33353659452415,2.13520328758822,0.0536833333333333,1.61014288527429,1.48202001272908,0.0106466666666667,2.30274253734971,2.03909723448196,0.0636,1.52523698002404,1.35091713525723
22.5,0.01171,2.26651287114533,2.06918382195787,0.0587233333333333,1.56558131698567,1.43600365408594,0.0130233333333333,2.22551527779618,1.96212774447271,0.0697733333333333,1.47748130244891,1.30344317352836
23.5,0.01385,2.20150914512796,2.00634246501193,0.0639633333333333,1.52232899395028,1.39208796621958,0.01571,2.15171256371521,1.88957411526065,0.0760933333333333,1.43185030598935,1.25824043999261
